P_G,Q_G,P_L,Q_L,r_line,x_line,P_line,Q_line,V
"[0.140294648278327, 0.10350842069794608]","[-0.16706313548467833, -0.8484050570222992]",[0.30160492 0.20053015 0.34430441],[0.22583255 0.40425174 0.18609145],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.37051437394802633, 0.43072364320846646, 0.06019584664493825]","[0.7258900220363103, 0.880334411415788, 0.1544090950494425]","[1.0, 0.9997722131995382, 0.9997260759445327]"
"[0.3840579635406652, 0.20130188145172404]","[-0.9144653809376903, 0.07723561465309171]",[0.1427591  0.20832684 0.45864962],[0.3954826  0.2535844  0.35136515],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.21871289378259462, 0.3630754889036325, 0.1443433657730918]","[0.8702849195879026, 0.5722379412686678, -0.2979661724485032]","[1.0, 0.9997550911225435, 0.9998115562636767]"
"[0.43110197261106525, 0.48955434472144815]","[0.7139010003109, 0.5194315463687216]",[0.15516047 0.42597434 0.48842093],[0.37042415 0.10798277 0.26162611],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.24624254401987855, 0.24756078479435928, 0.0013326077654940765]","[-0.48980917971357485, -0.3737857375076601, 0.116033916441687]","[1.0, 1.000091679514532, 1.0000625072343456]"
"[0.01429550260880914, 0.5417082444028154]","[0.16217229707739858, 0.3799833832651736]",[0.19473787 0.42432064 0.39962781],[0.17252506 0.30597595 0.16036668],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4760141571487111, 0.291976867582207, -0.18403936864190923]","[0.02272310528178423, -0.09844349836839683, -0.12113732735098841]","[1.0, 0.9999348242014147, 0.999988117404203]"
"[0.5808287252940268, 0.15428508218621848]","[-0.4186024768848643, -0.15664789600761622]",[0.48891241 0.41372243 0.28771256],[0.2753895  0.112611   0.21120819],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.18310019678460776, 0.28328755667143923, 0.10017387683679735]","[0.47683017644794745, 0.42237252620043364, -0.05444852662072616]","[1.0, 0.9998579050269203, 0.9998589960863452]"
"[0.9074096966515613, 0.3721071717383305]","[-0.29281276264747097, -0.25154077700292726]",[0.44722056 0.21493625 0.28197553],[0.21581107 0.20433763 0.26686566],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[-0.24166084089051765, -0.04086720609529948, 0.20077351152321946]","[0.5043211948877797, 0.5113897042983808, 0.007092620783949843]","[1.0, 0.9999041349277329, 0.9998772637234328]"
"[0.010352199777167158, 0.300204679857329]","[0.1186595254683324, -0.6672016275846644]",[0.13102721 0.13524416 0.36358304],[0.13028242 0.22392177 0.32928518],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3544449091320985, 0.3339475573939126, -0.020482998800850964]","[0.40242840637301924, 0.6995649461855464, 0.2970942661556667]","[1.0, 0.9998550880186106, 0.9997833653266168]"
"[0.4287260847974057, 0.7005628514926923]","[-0.38154263946334144, 0.07910141049820416]",[0.15721635 0.11973946 0.29140401],[0.49051455 0.4381151  0.34214829],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[-0.09232463819785153, -0.12573790117676253, -0.03338935651159846]","[0.6342182551215956, 0.4486522174188394, -0.18554217702977926]","[1.0, 0.9998529912553898, 0.9999035580131872]"
"[0.3155161183260352, 0.07100722685536305]","[-0.05896102594584184, -0.5883838688506888]",[0.23075821 0.39162831 0.40431386],[0.11449906 0.26973049 0.31326757],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4119107661392718, 0.49766265139760435, 0.08574358639599482]","[0.5198052273135545, 0.7108468968649504, 0.19100374817530785]","[1.0, 0.9998185605696127, 0.9997600810767604]"
"[0.11107296541909806, 0.16299236949725895]","[-0.23607323469120392, -0.3178836049602527]",[0.32706484 0.44973974 0.26166957],[0.44807525 0.37906417 0.13488052],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.5087412251230035, 0.4287307369481823, -0.07999726411107841]","[0.5611513131430002, 0.5070061916844679, -0.05412951841547126]","[1.0, 0.9997961211457658, 0.9998196580696561]"
"[0.14101677767360657, 0.04973625377394526]","[-0.28965812295907245, -0.10580870202195355]",[0.41726595 0.4426281  0.32567578],[0.3224116  0.1115503  0.48310581],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.5431223431946819, 0.5345631489851712, -0.008552752161634284]","[0.46390578193268084, 0.5264864333307742, 0.06256981073777833]","[1.0, 0.9998161362879999, 0.9998015602989541]"
"[0.04250758717236506, 0.21541942282155882]","[0.20286076916415074, 0.050345159164259926]",[0.10408698 0.39078956 0.15006551],[0.44133469 0.31547628 0.11483542],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.46043040328299867, 0.322541552628536, -0.13787923831480856]","[0.09662663998142307, 0.08056691438605412, -0.016044206760058993]","[1.0, 0.9999182948475431, 0.9999395430671515]"
"[0.03988552016958158, 0.08662022440580489]","[-0.08646766636149009, 0.021391556856825485]",[0.44926939 0.13982791 0.4103193 ],[0.48259716 0.4332444  0.4012668 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.42457492664925667, 0.4991719184674821, 0.0745820174361835]","[0.47320522523659747, 0.42659285185163753, -0.04660789081696492]","[1.0, 0.9998286279322235, 0.9998309578515603]"
"[0.2824612114627014, 0.369904916475906]","[-0.6228129084042989, -0.8361907765191129]",[0.33043914 0.40516808 0.48050802],[0.46377097 0.38342673 0.4998369 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3688549368080203, 0.3648340667036791, -0.004024769913431935]","[1.1165249077866974, 1.2265004631408374, 0.10993959671836899]","[1.0, 0.9996747630274173, 0.9996477725550122]"
